anonymous_id,which_experiment,multiple_tries
sub001,pilot_1,0
sub002,pilot_1,0
sub003,pilot_1,0
sub004,pilot_1,0
sub005,pilot_1,1
sub006,pilot_1,1
sub007,pilot_1,0
sub008,pilot_1,1
sub009,pilot_1,0
sub010,pilot_1,0
sub011,pilot_1,0
sub012,pilot_1,0
sub013,pilot_1,0
sub014,pilot_1,1
sub015,pilot_1,0
sub016,pilot_1,0
sub017,pilot_1,0
sub018,pilot_1,0
sub019,pilot_2,0
sub020,pilot_2,0
sub021,pilot_2,0
sub022,pilot_2,0
sub023,pilot_2,0
sub024,pilot_2,0
sub025,pilot_2,1
sub026,pilot_2,0
sub027,pilot_2,0
sub028,pilot_2,1
sub029,pilot_2,0
sub030,pilot_2,0
sub031,pilot_2,0
sub032,pilot_2,0
sub033,pilot_2,0
sub034,pilot_2,0
sub035,pilot_2,0
sub036,pilot_2,0
sub037,pilot_2,0
sub038,pilot_3,1
sub039,pilot_3,0
sub040,pilot_3,0
sub041,pilot_3,1
sub042,pilot_3,1
sub043,pilot_3,0
sub044,pilot_3,0
sub045,pilot_3,0
sub046,pilot_3,0
sub047,pilot_3,0
sub048,pilot_3,0
sub049,pilot_3,0
sub050,pilot_3,0
sub051,pilot_3,0
sub052,pilot_3,0
sub053,pilot_3,0
sub054,pilot_3,0
sub055,pilot_3,0
sub056,pilot_3,0
sub057,pilot_3,0
sub058,pilot_3,0
sub059,pilot_3,0
sub060,pilot_3,0
sub061,pilot_3,0
sub062,pilot_3,0
sub063,pilot_3,0
sub064,pilot_3,0
sub065,pilot_3,0
sub066,pilot_3,0
sub067,pilot_3,0
sub068,pilot_3,0
sub069,pilot_3,0
sub070,pilot_3,0
sub071,pilot_3,0
sub072,pilot_3,1
sub073,pilot_3,1
sub074,experiment_1,0
sub075,experiment_1,0
sub076,experiment_1,0
sub077,experiment_1,0
sub078,experiment_1,0
sub079,experiment_1,0
sub080,experiment_1,0
sub081,experiment_1,1
sub082,experiment_1,0
sub083,experiment_1,0
sub084,experiment_1,0
sub085,experiment_1,0
sub086,experiment_1,0
sub087,experiment_1,0
sub088,experiment_1,0
sub089,experiment_1,0
sub090,experiment_1,0
sub091,experiment_1,0
