prolific_status,anonymous_id,which_experiment,multiple_tries
APPROVED,sub011,pilot_1,0
APPROVED,sub001,pilot_1,0
APPROVED,sub014,pilot_1,1
APPROVED,sub008,pilot_1,1
APPROVED,sub015,pilot_1,0
APPROVED,sub003,pilot_1,0
APPROVED,sub002,pilot_1,0
APPROVED,sub004,pilot_1,0
APPROVED,sub018,pilot_1,0
APPROVED,sub017,pilot_1,0
APPROVED,sub005,pilot_1,1
APPROVED,sub006,pilot_1,1
APPROVED,sub012,pilot_1,0
APPROVED,sub016,pilot_1,0
APPROVED,sub007,pilot_1,0
APPROVED,sub013,pilot_1,0
APPROVED,sub009,pilot_1,0
APPROVED,sub010,pilot_1,0
APPROVED,sub030,pilot_2,0
RETURNED,sub027,pilot_2,0
APPROVED,sub031,pilot_2,0
APPROVED,sub026,pilot_2,0
APPROVED,sub022,pilot_2,0
APPROVED,sub023,pilot_2,0
APPROVED,sub032,pilot_2,0
APPROVED,sub024,pilot_2,0
APPROVED,sub033,pilot_2,0
RETURNED,sub028,pilot_2,1
RETURNED,sub025,pilot_2,1
RETURNED,sub035,pilot_2,0
APPROVED,sub037,pilot_2,0
APPROVED,sub029,pilot_2,0
TIMED-OUT,sub036,pilot_2,0
APPROVED,sub034,pilot_2,0
RETURNED,sub041,pilot_3,1
RETURNED,sub042,pilot_3,1
APPROVED,sub057,pilot_3,0
APPROVED,sub050,pilot_3,0
APPROVED,sub052,pilot_3,0
APPROVED,sub048,pilot_3,0
APPROVED,sub069,pilot_3,0
RETURNED,sub058,pilot_3,0
APPROVED,sub043,pilot_3,0
APPROVED,sub045,pilot_3,0
APPROVED,sub055,pilot_3,0
APPROVED,sub061,pilot_3,0
APPROVED,sub040,pilot_3,0
RETURNED,sub051,pilot_3,0
APPROVED,sub067,pilot_3,0
APPROVED,sub062,pilot_3,0
APPROVED,sub053,pilot_3,0
RETURNED,sub060,pilot_3,0
RETURNED,sub070,pilot_3,0
APPROVED,sub066,pilot_3,0
APPROVED,sub056,pilot_3,0
APPROVED,sub071,pilot_3,0
APPROVED,sub068,pilot_3,0
APPROVED,sub059,pilot_3,0
APPROVED,sub039,pilot_3,0
APPROVED,sub065,pilot_3,0
APPROVED,sub046,pilot_3,0
APPROVED,sub044,pilot_3,0
APPROVED,sub063,pilot_3,0
APPROVED,sub049,pilot_3,0
APPROVED,sub047,pilot_3,0
APPROVED,sub054,pilot_3,0
APPROVED,sub064,pilot_3,0
APPROVED,sub118,experiment_1,0
APPROVED,sub132,experiment_1,0
APPROVED,sub156,experiment_1,1
APPROVED,sub150,experiment_1,1
APPROVED,sub139,experiment_1,1
APPROVED,sub217,experiment_1,1
