prolific_id,page_index,viewing_time
sub_58,0,2207.2999999970198
sub_58,1,29910.29999999702
sub_58,2,8078.5999999940395
sub_59,0,6080.0
sub_59,1,64031.0
sub_59,2,25200.0
sub_60,0,3818.0
sub_60,1,27917.0
sub_60,2,10341.5
sub_61,0,1319.699999988079
sub_61,1,12471.40000000596
sub_61,2,1829.9000000059605
sub_62,0,3698.599999997765
sub_62,1,26784.699999999255
sub_62,2,1767.6000000014901
sub_63,0,2094.5
sub_63,1,16729.40000000596
sub_63,2,4634.5
sub_64,0,3748.300000011921
sub_64,1,54103.89999997616
sub_64,2,13989.900000035763
sub_65,0,3268.5999999046326
sub_65,1,26902.5
sub_65,2,2265.300000190735
sub_66,0,3769.899999976158
sub_66,1,41272.299999952316
sub_66,2,5037.5
sub_67,0,9320.200000047684
sub_67,1,57217.60000002384
sub_67,2,15998.100000023842
sub_68,0,5528.60000000149
sub_68,1,19775.699999999255
sub_68,2,10231.800000000745
sub_69,0,312153.5
sub_69,1,23199.899999976158
sub_69,2,3303.6999999284744
sub_70,0,31039.19999998808
sub_70,1,15719.700000047684
sub_70,2,1182.199999988079
sub_71,0,4673.0999999996275
sub_71,1,35970.5
sub_71,2,12267.199999999255
sub_72,0,3160.699999988079
sub_72,1,49097.30000001192
sub_72,2,1770.5
sub_73,0,3763.4000000059605
sub_73,1,75907.30000001192
sub_73,2,13547.699999988079
sub_74,0,4605.700000000186
sub_74,1,29755.0
sub_74,2,3377.7000000001863
sub_74,1,3054.9000000003725
sub_74,2,4106.0
sub_75,0,3954.5
sub_75,1,22448.299999999814
sub_75,2,11376.5
sub_76,0,40479.199999928474
sub_76,1,47871.5
sub_76,2,11176.0
sub_77,0,4379.4000000059605
sub_77,1,54424.0
sub_77,2,9344.199999988079
sub_78,0,13413.5
sub_78,1,47079.89999997616
sub_78,2,26743.900000035763
sub_79,0,1265.3999999761581
sub_79,1,55290.0
sub_79,2,1664.6000000238419
sub_80,0,8784.599999904633
sub_80,1,58785.10000002384
sub_80,2,7867.200000047684
sub_81,0,3921.0
sub_81,1,51880.0
sub_81,2,13791.799999952316
sub_82,0,4455.299999952316
sub_82,1,32273.30000001192
sub_82,2,1921.9000000357628
sub_83,0,7720.100000000559
sub_83,1,39240.5
sub_83,2,13468.099999999627
sub_84,0,5805.09999999986
sub_84,1,38150.30000000005
sub_84,2,16375.699999999953
sub_85,0,12518.299999952316
sub_85,1,78753.5
sub_85,2,39823.10000002384
sub_86,0,5710.0
sub_86,1,39224.0
sub_86,2,20961.0
sub_87,0,3637.3999996185303
sub_87,1,35086.400000572205
sub_87,2,3759.0
