prolific_id,counterbalancing,query_stimulus,ref_left_stimulus,ref_right_stimulus,ref_left_y_offset,ref_right_y_offset,rt,response,trial_stage,trial_index,time_elapsed,session,correct,correct_response,query_item,ref_left,ref_right,dist_query_ref_left,dist_query_ref_right,dist_ref_left_ref_right,abs_dist_query_ref_left,abs_dist_query_ref_right,abs_dist_ref_left_ref_right,triplet_left_right_name,ref_lowdim,ref_highdim,dist_query_ref_lowdim,dist_query_ref_highdim,dist_ref_lowdim_ref_highdim,dist_abs_query_ref_lowdim,dist_abs_query_ref_highdim,dist_abs_ref_lowdim_ref_highdim,triplet_unique_name,template_distances,template_abs_distances,triplet_rep,template_distances_rep,template_abs_distances_rep,triplet_easiness,query_position,chosen_ref_value,chosen_ref_lowdim_highdim,correct_ref_lowdim_highdim,correct_ref_left_right,correct_numeric,triplet_location,correct_ref_towards_dense_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,0,0,803.8000000119209,q,practice,12,31625,1,True,q,86,110,46,-24,40,64,24,40,64,86_110_46,46,110,40,-24,-64,40,24,64,86_46_110,40_-24_-64,24_40_64,2,2,2,16,query_middle,110.0,ref_highdim,ref_highdim,ref_left,1.0,sparse_region,ref_towards_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,0,0,1054.0999999642372,p,practice,13,34132,1,True,p,102,38,118,64,-16,-80,64,16,80,102_38_118,38,118,64,-16,-80,64,16,80,102_38_118,64_-16_-80,16_64_80,2,2,2,48,query_middle,118.0,ref_highdim,ref_highdim,ref_right,1.0,sparse_region,ref_towards_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,0,0,1790.3999999761581,p,practice,14,36638,1,,,38,30,46,8,-8,-16,8,8,16,38_30_46,30,46,8,-8,-16,8,8,16,38_30_46,8_-8_-16,8_8_16,2,4,4,0,query_middle,46.0,ref_highdim,nan,nan,,dense_region,nan
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,0,0,1027.199999988079,p,practice,15,39145,1,True,p,86,38,118,48,-32,-80,48,32,80,86_38_118,38,118,48,-32,-80,48,32,80,86_38_118,48_-32_-80,32_48_80,1,1,1,16,query_middle,118.0,ref_highdim,ref_highdim,ref_right,1.0,sparse_region,ref_towards_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1401.0999999642372,p,practice,16,41652,1,True,p,102,86,110,16,-8,-24,16,8,24,102_86_110,86,110,16,-8,-24,16,8,24,102_86_110,16_-8_-24,8_16_24,2,2,2,8,query_middle,110.0,ref_highdim,ref_highdim,ref_right,1.0,sparse_region,ref_towards_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,0,0,1628.800000011921,q,practice,17,44159,1,True,q,62,30,102,32,-40,-72,32,40,72,62_30_102,30,102,32,-40,-72,32,40,72,62_30_102,32_-40_-72,32_40_72,2,2,2,8,query_middle,30.0,ref_lowdim,ref_lowdim,ref_left,1.0,dense_region,ref_towards_dense
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,839.7999999523163,q,practice,18,46665,1,True,q,38,30,110,8,-72,-80,8,72,80,38_30_110,30,110,8,-72,-80,8,72,80,38_30_110,8_-72_-80,8_72_80,2,2,2,64,query_middle,30.0,ref_lowdim,ref_lowdim,ref_left,1.0,dense_region,ref_towards_dense
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,0,0,1267.699999988079,q,practice,19,49172,1,True,q,86,118,38,-32,48,80,32,48,80,86_118_38,38,118,48,-32,-80,48,32,80,86_38_118,48_-32_-80,32_48_80,2,2,2,16,query_middle,118.0,ref_highdim,ref_highdim,ref_left,1.0,sparse_region,ref_towards_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,0,0,1765.6000000238419,p,practice,20,51679,1,True,p,78,30,118,48,-40,-88,48,40,88,78_30_118,30,118,48,-40,-88,48,40,88,78_30_118,48_-40_-88,40_48_88,2,2,2,8,query_middle,118.0,ref_highdim,ref_highdim,ref_right,1.0,sparse_region,ref_towards_sparse
sub_01,dense_left,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,0,0,1628.0,q,pre_exposure,1,3426,1,,,54,30,78,24,-24,-48,24,24,48,54_30_78,30,78,24,-24,-48,24,24,48,54_30_78,24_-24_-48,24_24_48,1,1,1,0,query_middle,30.0,ref_lowdim,nan,nan,,dense_region,nan
