prolific_id,page_index,viewing_time
sub_01,0,4525.800000011921
sub_01,1,62183.59999996424
sub_01,2,10616.600000023842
sub_02,0,2983.5
sub_02,1,30054.90000000596
sub_02,2,13153.5
sub_03,0,14937.10000000149
sub_03,1,48324.89999999851
sub_03,2,14241.5
sub_04,0,3184.0999999996275
sub_04,1,29976.0
sub_04,2,16423.900000000373
sub_05,0,10821.900000000373
sub_05,1,55334.09999999963
sub_05,2,10999.800000000745
sub_06,0,3140.5
sub_06,1,39913.0
sub_06,2,5622.899999976158
sub_07,0,3164.9000000953674
sub_07,1,30337.799999952316
sub_07,2,9886.0
sub_08,0,4905.10000000149
sub_08,1,36408.199999999255
sub_08,2,2042.9000000003725
sub_09,0,1608.6000000238419
sub_09,1,41367.19999998808
sub_09,2,5704.100000023842
sub_10,0,26256.800000000745
sub_10,1,37591.79999999702
sub_10,2,12472.0
sub_100,0,4713.399999991059
sub_100,1,51820.10000000894
sub_100,2,8446.59999999404
sub_101,0,1846.699999988079
sub_101,1,13764.899999976158
sub_101,2,1997.6000000238419
sub_102,0,2783.899999976158
sub_102,1,33415.80000001192
sub_102,2,14631.900000035763
sub_103,0,5073.700000047684
sub_103,1,30480.5
sub_103,2,15589.399999856949
sub_103,1,6357.0
sub_103,2,1132.7999999523163
sub_104,0,15472.800000071526
sub_104,1,49983.799999952316
sub_104,2,20656.100000023842
sub_105,0,7480.5
sub_105,1,80153.5
sub_105,2,31064.200000047684
sub_106,0,10163.0
sub_106,1,63248.299999952316
sub_106,2,30152.5
sub_107,0,3329.2999999988824
sub_107,1,46505.300000000745
sub_107,2,16275.5
sub_108,0,4944.800000011921
sub_108,1,36049.80000001192
sub_108,2,8789.399999976158
sub_109,0,40858.30000001192
sub_109,1,49915.5
sub_109,2,13772.0
sub_11,0,4470.0
sub_11,1,41418.39999985695
sub_11,2,13222.900000095367
sub_110,0,71188.30000000075
sub_110,1,124147.69999999925
sub_110,2,104033.60000000149
sub_111,0,3256.1000000089407
sub_111,1,23223.0
sub_111,2,11255.0
sub_112,0,3014.0
sub_112,1,26813.0
sub_112,2,15850.0
sub_113,0,7351.0
sub_113,1,53387.200000000186
sub_113,2,19916.700000000186
sub_114,0,9274.899999856949
sub_114,1,44098.90000009537
sub_114,2,8085.299999952316
sub_115,0,3182.800000011921
sub_115,1,59987.30000001192
sub_115,0,1447.3999999761581
sub_115,1,9711.90000000596
sub_115,2,7426.9000000059605
sub_116,0,3904.0
sub_116,1,51636.0
sub_116,2,13199.0
sub_117,0,2034.5999999046326
sub_117,1,24600.700000047684
sub_117,2,5977.399999976158
sub_118,0,1695.1000000014901
sub_118,1,18000.300000000745
sub_118,2,5445.0
sub_119,0,1342.8999999985099
sub_119,1,31253.0
sub_119,2,8659.90000000596
sub_12,0,2721.2999999523163
sub_12,1,43307.800000071526
sub_12,2,5101.799999952316
sub_120,0,2161.5
sub_120,1,21266.100000023842
sub_120,2,3844.0
sub_121,0,2367.7999999523163
sub_121,1,12849.600000023842
sub_121,2,10750.399999976158
sub_122,0,6347.5
sub_122,1,46476.09999999404
sub_122,2,14618.100000023842
sub_123,0,4330.699999809265
sub_123,1,35546.40000009537
sub_123,2,16945.900000095367
